cod_dep,depto,codigo,municipio,perdida_bruta_ha,ganancia_bruta_ha,balance_neto_cobertura_ha,tipo_unidad
17,Petén,1710,Sayaxché,12525.86023005,14289.339983329995,-1763.4797532799969,Municipio
17,Petén,1711,Melchor de Mencos,6936.87762646,5207.605129660001,1729.272496799999,Municipio
17,Petén,1712,Poptún,11893.975496149998,9060.04694025,2833.928555899998,Municipio
17,Petén,1713,Las Cruces,7597.645269619999,6721.52553353,876.1197360899996,Municipio
17,Petén,1714,El Chal,3186.87608944,2925.5684728,261.30761663999965,Municipio
18,Izabal,1801,Puerto Barrios,2009.36756975,94.0507412,1915.31682855,Municipio
18,Izabal,1802,Livingston,7163.53443353,2063.93560304,5099.59883049,Municipio
18,Izabal,1803,El Estor,4835.85202861,1979.96475726,2855.8872713500004,Municipio
18,Izabal,1804,Morales,1163.22724742,947.89281143,215.33443598999983,Municipio
18,Izabal,1805,Los Amates,861.6970483599999,377.79362092,483.90342744,Municipio
19,Zacapa,1901,Zacapa,596.11210363,256.18195017,339.93015346,Municipio
19,Zacapa,1902,Estanzuela,0.60535641,43.93807891,-43.3327225,Municipio
19,Zacapa,1903,Río Hondo,245.95621229,86.88741907,159.06879321999998,Municipio
19,Zacapa,1904,Gualán,617.17987374,1432.08277536,-814.90290162,Municipio
19,Zacapa,1905,Teculután,48.91167828,57.98301059,-9.071332309999995,Municipio
19,Zacapa,1906,Usumatlán,17.17316358,1.72778833,15.44537525,Municipio
19,Zacapa,1907,Cabañas,79.61943905,165.61450394,-85.99506489,Municipio
19,Zacapa,1908,San Diego,190.43780364,0.0,190.43780364,Municipio
19,Zacapa,1909,La Unión,190.935253,3.63084501,187.30440799,Municipio
19,Zacapa,1910,Huité,106.8177919,137.28214088,-30.464348979999983,Municipio
19,Zacapa,1911,San Jorge,1.12403459,0.00996893,1.1140656599999998,Municipio
20,Chiquimula,2001,Chiquimula,1215.9342214,18.91074291,1197.02347849,Municipio
20,Chiquimula,2002,San José La Arada,323.11285686,0.86534201,322.24751485,Municipio
20,Chiquimula,2003,San Juan la Ermita,2.33605062,0.0,2.33605062,Municipio
20,Chiquimula,2004,Jocotán,80.55827129,0.69173048,79.86654080999999,Municipio
20,Chiquimula,2005,Camotán,226.59190968,1.47650288,225.1154068,Municipio
20,Chiquimula,2006,Olopa,1.47140225,0.08655514,1.38484711,Municipio
